CLUPA_POLICY_ID,PARK_ADMIN_ZONE_NAME_ENG,PARK_ADMIN_ZONE_NAME_FR,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
205000145,Northwest,Nord-ouest,2009/03/09 10:44:55+00,2020/08/18 22:11:56+00,20030
205000144,Northwest,Nord-ouest,2009/03/09 10:43:46+00,2020/08/18 22:11:56+00,20031
205000141,Northwest,Nord-ouest,2009/03/09 10:40:36+00,2020/08/18 22:11:56+00,20033
205000216,Northwest,Nord-ouest,2009/03/09 15:13:33+00,2020/08/18 22:11:56+00,20034
205000140,Northwest,Nord-ouest,2009/03/09 10:35:19+00,2020/08/18 22:11:56+00,20035
205000446,Northeast,Nord-est,2009/03/16 10:10:44+00,2020/08/13 22:21:56+00,19529
205000139,Northwest,Nord-ouest,2009/03/09 10:33:58+00,2020/08/18 22:11:56+00,20036
205000138,Northwest,Nord-ouest,2009/03/09 10:32:35+00,2020/08/18 22:11:56+00,20037
205000490,Northwest,Nord-ouest,2009/03/16 13:59:32+00,2020/08/13 22:21:56+00,19531
205000137,Northwest,Nord-ouest,2009/03/09 10:31:44+00,2020/08/18 22:11:56+00,20038
205000943,Central,Centre,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17310
205000136,Northwest,Nord-ouest,2009/03/09 10:29:58+00,2020/08/18 22:11:56+00,20039
205000135,Northwest,Nord-ouest,2009/03/09 10:28:28+00,2020/08/18 22:11:56+00,20040
205000134,Northeast,Nord-est,2009/03/06 16:14:36+00,2020/08/18 22:11:56+00,20041
205000168,Northwest,Nord-ouest,2009/03/09 13:39:14+00,2020/08/18 22:11:56+00,20042
205000131,Northwest,Nord-ouest,2009/03/06 16:04:30+00,2020/08/18 22:11:56+00,20043
205000130,Northwest,Nord-ouest,2009/03/06 15:54:09+00,2020/08/18 22:11:56+00,20044
205000129,Northwest,Nord-ouest,2009/03/06 15:53:10+00,2020/08/18 22:11:56+00,20045
205000133,Northwest,Nord-ouest,2009/03/06 16:13:27+00,2020/08/18 22:11:56+00,20046
205000196,Northwest,Nord-ouest,2009/03/09 14:28:23+00,2020/08/18 22:11:56+00,20047
205000132,Northwest,Nord-ouest,2009/03/06 16:12:23+00,2020/08/18 22:11:56+00,20048
205000128,Northwest,Nord-ouest,2009/03/05 10:40:41+00,2020/08/18 22:11:56+00,20049
205000127,Northwest,Nord-ouest,2009/03/05 10:37:46+00,2020/08/18 22:11:56+00,20050
205000126,Northwest,Nord-ouest,2009/03/05 10:35:34+00,2020/08/18 22:11:56+00,20051
205000124,Northwest,Nord-ouest,2009/03/05 10:23:45+00,2020/08/18 22:11:56+00,20052
205000123,Northwest,Nord-ouest,2009/03/05 10:22:36+00,2020/08/18 22:11:56+00,20053
205000122,Northwest,Nord-ouest,2009/03/05 10:21:27+00,2020/08/18 22:11:56+00,20054
205000121,Northeast,Nord-est,2009/03/05 10:20:25+00,2020/08/18 22:11:56+00,20055
205000181,Northwest,Nord-ouest,2009/03/09 14:03:16+00,2020/08/18 22:11:56+00,20056
205000120,Northeast,Nord-est,2009/03/05 10:19:21+00,2020/08/18 22:11:56+00,20057
205000119,Northeast,Nord-est,2009/03/05 10:17:08+00,2020/08/18 22:11:56+00,20058
205000491,Northwest,Nord-ouest,2009/03/16 14:00:32+00,2020/08/13 22:21:56+00,19547
205000118,Northeast,Nord-est,2009/03/05 10:14:34+00,2020/08/18 22:11:56+00,20059
205000191,Northwest,Nord-ouest,2009/03/09 14:19:58+00,2020/08/18 22:11:56+00,20060
205000117,Central,Centre,2009/03/05 10:13:10+00,2020/08/18 22:11:56+00,20061
205000116,Northeast,Nord-est,2009/03/05 10:11:54+00,2020/08/18 22:11:56+00,20062
205000115,Northeast,Nord-est,2009/03/05 10:10:47+00,2020/08/18 22:11:56+00,20063
205000114,Northeast,Nord-est,2009/03/05 10:09:31+00,2020/08/18 22:11:56+00,20064
70711517,Central,Centre,2011/01/31 09:09:54+00,2017/07/19 22:27:15+00,17619
205000113,Northeast,Nord-est,2009/03/04 15:48:09+00,2020/08/18 22:11:56+00,20065
205000489,Northwest,Nord-ouest,2009/03/16 13:58:22+00,2020/08/13 22:21:56+00,19558
70757619,Southeast,Sud-ouest,2011/03/18 15:14:42+00,2018/09/07 22:37:15+00,18089
70712718,Central,Centre,2011/02/07 10:11:24+00,2017/07/19 22:27:15+00,17620
70712957,Central,Centre,2011/02/07 11:41:17+00,2017/07/19 22:27:15+00,17621
205000480,Northeast,Nord-est,2009/03/16 13:49:19+00,2020/08/13 22:21:56+00,19567
205000945,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17311
205000952,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17312
205000938,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17313
205000947,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17314
205000949,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17315
205000935,Central,Centre,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17316
205000951,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17317
205000939,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17318
205000950,Northwest,Nord-ouest,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17319
205000948,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17320
205000940,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17321
205000937,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17322
205000953,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17323
205000954,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17324
205000942,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17325
205000944,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/12 22:57:15+00,17326
71235534,Southwest,Sud-ouest,2011/04/06 16:40:03+00,2017/07/19 22:27:15+00,17622
70712215,Central,Centre,2011/01/31 15:28:09+00,2017/07/19 22:27:15+00,17623
71128548,Southwest,Sud-ouest,2011/03/23 13:49:37+00,2017/07/19 22:27:15+00,17624
70712107,Central,Centre,2011/01/31 10:32:42+00,2017/07/19 22:27:15+00,17625
71129549,Southwest,Sud-ouest,2011/03/23 15:41:06+00,2017/07/19 22:27:15+00,17626
205001226,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17627
205001224,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17628
205001223,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17629
71128131,Southwest,Sud-ouest,2011/03/23 11:40:49+00,2017/07/19 22:27:15+00,17630
70225493,Southeast,Sud-ouest,2010/07/09 11:39:54+00,2017/07/19 22:27:15+00,17631
71135237,Southwest,Sud-ouest,2011/03/28 13:45:15+00,2017/07/19 22:27:15+00,17632
71196426,Southwest,Sud-ouest,2011/04/01 15:40:19+00,2017/07/19 22:27:15+00,17633
71236331,Southwest,Sud-ouest,2011/04/07 09:31:37+00,2017/07/19 22:27:15+00,17636
70757730,Southeast,Sud-ouest,2011/03/21 13:59:47+00,2017/07/19 22:27:15+00,17637
70757403,Southeast,Sud-ouest,2011/03/18 14:30:16+00,2017/07/19 22:27:15+00,17638
70712665,Central,Centre,2011/02/04 16:24:54+00,2017/07/19 22:27:15+00,17639
71136507,Southwest,Sud-ouest,2011/03/28 14:28:15+00,2017/07/19 22:27:15+00,17640
71128309,Southwest,Sud-ouest,2011/03/23 13:37:52+00,2017/07/19 22:27:15+00,17642
70758730,Southeast,Sud-ouest,2011/03/23 10:35:31+00,2017/07/19 22:27:15+00,17643
71206696,Southwest,Sud-ouest,2011/04/05 10:57:09+00,2017/07/19 22:27:15+00,17644
71217744,Southwest,Sud-ouest,2011/04/06 11:02:58+00,2017/07/19 22:27:15+00,17646
205001191,Central,Centre,2006/03/27 11:45:00+00,2018/09/07 22:37:15+00,18092
71196442,Southwest,Sud-ouest,2011/04/01 16:08:46+00,2017/07/19 22:27:15+00,17648
205001228,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17649
70712786,Central,Centre,2011/02/07 10:53:40+00,2017/07/19 22:27:15+00,17651
70712948,Central,Centre,2011/02/07 11:19:36+00,2017/07/19 22:27:15+00,17652
205001221,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17653
71134546,Southwest,Sud-ouest,2011/03/28 11:50:42+00,2017/07/19 22:27:15+00,17654
205001219,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17655
70758519,Southeast,Sud-ouest,2011/03/22 14:19:44+00,2017/07/19 22:27:15+00,17656
70756561,Southeast,Centre,2011/02/24 13:42:53+00,2017/07/19 22:27:15+00,17657
205001220,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17660
71136508,Southwest,Sud-ouest,2011/03/28 14:45:57+00,2017/07/19 22:27:15+00,17661
70712751,Central,Centre,2011/02/07 10:22:08+00,2017/07/19 22:27:15+00,17662
70713645,Central,Centre,2011/02/07 15:27:05+00,2017/07/19 22:27:15+00,17663
70713141,Central,Centre,2011/02/07 14:09:37+00,2017/07/19 22:27:15+00,17664
71236519,Southwest,Sud-ouest,2011/04/07 11:06:24+00,2017/07/19 22:27:15+00,17666
70757958,Southeast,Sud-ouest,2011/03/21 14:54:14+00,2017/07/19 22:27:15+00,17667
70758392,Southeast,Sud-ouest,2011/03/22 14:13:02+00,2017/07/19 22:27:15+00,17668
71134346,Southwest,Sud-ouest,2011/03/28 11:38:51+00,2017/07/19 22:27:15+00,17669
70712644,Central,Centre,2011/02/04 11:42:14+00,2017/07/19 22:27:15+00,17670
70712608,Central,Centre,2011/01/31 15:47:39+00,2017/07/19 22:27:15+00,17672
71196374,Southwest,Sud-ouest,2011/03/31 14:21:50+00,2017/07/19 22:27:15+00,17673
70222863,Southwest,Sud-ouest,2010/06/30 11:19:44+00,2017/07/19 22:27:15+00,17674
71183577,Southwest,Sud-ouest,2011/03/29 11:31:58+00,2017/07/19 22:27:15+00,17675
71136515,Southwest,Sud-ouest,2011/03/29 09:35:18+00,2017/07/19 22:27:15+00,17676
70730894,Central,Centre,2011/02/07 09:53:07+00,2017/07/19 22:27:15+00,17677
205001225,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17678
71196431,Southwest,Sud-ouest,2011/04/01 15:46:17+00,2017/07/19 22:27:15+00,17679
71196395,Southwest,Sud-ouest,2011/03/31 15:58:38+00,2017/07/19 22:27:15+00,17680
71129429,Southwest,Sud-ouest,2011/03/23 14:00:43+00,2017/07/19 22:27:15+00,17681
205001222,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17682
70712782,Central,Centre,2011/02/07 10:27:26+00,2017/07/19 22:27:15+00,17683
205001231,Southeast,Sud-est,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17684
70713699,Central,Centre,2011/02/07 15:33:49+00,2017/07/19 22:27:15+00,17685
71134832,Southwest,Sud-ouest,2011/03/28 13:37:43+00,2017/07/19 22:27:15+00,17687
71236517,Southwest,Sud-ouest,2011/04/07 09:39:54+00,2017/07/19 22:27:15+00,17688
71236520,Southwest,Sud-ouest,2011/04/07 11:16:39+00,2017/07/19 22:27:15+00,17689
71136375,Southwest,Sud-ouest,2011/03/28 14:16:37+00,2017/07/19 22:27:15+00,17690
70230787,Southwest,Sud-ouest,2011/04/01 16:21:04+00,2017/07/19 22:27:15+00,17691
205001227,Central,Centre,2006/03/27 11:45:00+00,2017/07/19 22:27:15+00,17692
71126692,Southwest,Sud-ouest,2011/03/23 11:04:55+00,2017/07/19 22:27:15+00,17693
70756690,Southeast,Centre,2011/02/24 14:21:06+00,2017/07/19 22:27:15+00,17694
71129559,Southwest,Sud-ouest,2011/03/28 11:29:12+00,2017/07/19 22:27:15+00,17695
102419523,Northeast,Nord-est,2013/03/19 09:52:54+00,2017/07/19 22:27:15+00,17696
71196378,Southwest,Sud-ouest,2011/03/31 15:07:22+00,2017/07/19 22:27:15+00,17697
70758186,Southeast,Sud-ouest,2011/03/21 15:09:22+00,2017/07/19 22:27:15+00,17698
70712937,Central,Centre,2011/02/07 11:10:40+00,2017/07/19 22:27:15+00,17699
71136517,Southwest,Sud-ouest,2011/03/29 11:21:54+00,2017/07/19 22:27:15+00,17700
70757526,Southeast,Sud-ouest,2011/03/18 14:36:33+00,2017/07/19 22:27:15+00,17702
70712856,Central,Centre,2011/02/07 11:02:53+00,2017/07/19 22:27:15+00,17703
102000139,Central,Centre,2014/05/27 14:40:03+00,2017/07/19 22:27:15+00,17704
71185399,Southwest,Sud-ouest,2011/03/29 11:39:51+00,2017/07/19 22:27:15+00,17705
120729251,Southeast,Sud-est,2018/01/23 16:19:19+00,2018/01/23 22:57:15+00,17769
205000694,Northeast,Nord-est,2014/07/29 21:08:33+00,2020/08/11 22:26:56+00,19037
205000448,Northeast,Nord-est,2009/03/16 10:11:49+00,2020/08/13 22:21:56+00,19573
205000479,Northeast,Nord-est,2009/03/16 13:47:49+00,2020/08/13 22:21:56+00,19579
205000222,Northwest,Nord-ouest,2009/03/12 10:05:39+00,2020/08/13 22:21:56+00,19598
205054813,Northeast,Nord-est,2009/03/16 10:09:42+00,2020/08/13 22:21:56+00,19603
205000021,Northeast,Nord-est,2009/02/18 11:04:45+00,2020/08/13 22:21:56+00,19652
205000023,Northeast,Nord-est,2009/02/18 11:17:47+00,2020/08/13 22:21:56+00,19654
205000713,Northeast,Nord-est,2014/08/16 19:03:13+00,2020/08/14 22:21:56+00,19669
205001047,Northeast,Nord-est,2006/03/27 11:45:00+00,2018/10/19 22:02:15+00,18170
124210612,Southwest,Sud-ouest,2018/08/13 09:51:59+00,2018/08/13 22:47:15+00,17969
205001037,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17377
205001022,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17378
205001007,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17379
205001031,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17380
205001012,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17381
205001018,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17382
205001017,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17383
205001038,Algonquin,Algonquin,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17384
205001030,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17385
205001011,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17386
205001033,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17387
205001026,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17388
205001019,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17390
205001014,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17391
205001043,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17392
205001020,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17393
205001024,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17394
205001006,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17395
205001028,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17396
205001034,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17397
205001021,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17398
205001015,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17399
205001023,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17400
205001036,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17401
205001044,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17402
205001013,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17403
205001025,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17405
205001032,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17406
205001016,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17407
205001035,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17409
205001027,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17411
205001005,Northeast,Nord-est,2006/03/27 11:45:00+00,2017/07/14 22:32:15+00,17412
121172105,Southeast,Sud-est,2018/02/12 10:43:39+00,2018/02/12 23:02:15+00,17809
108590228,Northwest,Nord-ouest,2017/10/06 11:38:29+00,2020/08/17 22:01:56+00,19691
108588754,Northwest,Nord-ouest,2017/08/14 11:53:55+00,2020/08/17 22:01:56+00,19692
70666274,Northwest,Nord-ouest,2014/07/02 11:00:09+00,2020/08/17 22:01:56+00,19694
